airline,origin,destination,weather,distance_km,scheduled_hour,day_of_week,delayed
TAP,BSB,GIG,Fog,3008,18,4,1
American Airlines,CGH,GRU,Fog,875,11,1,1
Azul,CNF,GRU,Fog,3665,21,1,1
American Airlines,GIG,CNF,Cloudy,2092,6,2,0
American Airlines,GRU,GIG,Fog,2704,9,0,1
GOL,CGH,GIG,Cloudy,3167,18,4,0
Azul,CNF,CGH,Fog,2439,6,5,0
Azul,CGH,GRU,Storm,2986,2,0,1
Azul,CNF,CGH,Fog,3960,12,5,1
American Airlines,CNF,GIG,Cloudy,1322,12,0,1
TAP,GIG,GRU,Rain,1771,17,2,1
Azul,CNF,CGH,Fog,1177,19,4,1
American Airlines,CGH,GRU,Rain,1208,7,4,1
GOL,CNF,GIG,Storm,2343,8,3,1
TAP,GIG,GRU,Clear,1887,6,5,0
GOL,GIG,CNF,Storm,2910,0,0,1
TAP,CGH,GRU,Fog,3461,2,0,1
American Airlines,BSB,CNF,Rain,236,12,1,0
LATAM,BSB,GRU,Rain,3640,16,3,1
TAP,CNF,BSB,Cloudy,3966,23,6,0
GOL,GRU,BSB,Rain,1748,0,6,1
American Airlines,CNF,GIG,Cloudy,2526,5,1,1
TAP,CGH,CNF,Clear,2464,20,1,0
LATAM,CGH,GRU,Fog,3114,5,1,1
LATAM,CGH,BSB,Cloudy,1072,11,5,1
Azul,CGH,GRU,Clear,2021,12,5,0
Azul,CGH,BSB,Rain,1496,12,2,1
GOL,GIG,GRU,Rain,2309,14,2,0
TAP,BSB,CNF,Clear,795,20,1,1
TAP,CGH,BSB,Rain,2103,15,3,1
Azul,GRU,GIG,Clear,928,21,0,0
TAP,GRU,GIG,Cloudy,1565,20,5,0
TAP,GRU,BSB,Cloudy,596,10,3,0
LATAM,GRU,CGH,Clear,898,4,4,1
Azul,GIG,CNF,Cloudy,3290,3,5,0
American Airlines,GRU,GIG,Cloudy,2424,2,5,1
Azul,CGH,CNF,Cloudy,1835,18,2,0
American Airlines,CNF,GIG,Storm,595,19,0,1
LATAM,GRU,GIG,Fog,2692,17,0,1
GOL,GIG,BSB,Rain,3504,14,6,0
TAP,GIG,BSB,Storm,275,8,6,0
LATAM,GRU,CNF,Cloudy,464,16,6,0
TAP,CNF,GRU,Clear,2702,13,6,0
GOL,GRU,CGH,Cloudy,2019,14,4,0
GOL,GIG,GRU,Fog,917,0,4,1
LATAM,BSB,CNF,Cloudy,2982,20,5,0
GOL,CGH,GRU,Clear,3655,21,1,0
American Airlines,GIG,CNF,Fog,3835,21,2,1
GOL,GRU,GIG,Cloudy,1050,2,2,0
TAP,CGH,BSB,Fog,3777,15,6,0
TAP,GRU,GIG,Rain,1590,22,5,1
TAP,GRU,GIG,Rain,343,10,3,1
TAP,BSB,GRU,Cloudy,1084,11,1,0
American Airlines,CGH,GRU,Fog,3340,9,5,1
Azul,CGH,GIG,Clear,3370,15,1,0
LATAM,BSB,CNF,Cloudy,595,7,1,0
TAP,GIG,CNF,Rain,3296,5,1,1
GOL,GRU,GIG,Rain,3195,11,5,0
TAP,CNF,CGH,Cloudy,3138,23,6,1
GOL,GRU,CNF,Fog,1692,20,2,0
GOL,GRU,CNF,Rain,3755,7,2,0
TAP,GIG,CNF,Fog,3836,3,6,1
American Airlines,GRU,GIG,Rain,3422,7,1,1
GOL,BSB,CNF,Rain,1367,17,3,0
GOL,BSB,GIG,Storm,2816,4,0,1
TAP,CGH,BSB,Rain,1262,8,5,0
GOL,CNF,GRU,Clear,2356,3,0,0
GOL,GRU,CGH,Cloudy,3964,21,6,1
TAP,GRU,CNF,Cloudy,1265,16,3,0
TAP,GIG,CNF,Fog,1409,8,5,0
LATAM,BSB,GRU,Rain,3182,0,6,1
American Airlines,CNF,GIG,Clear,2645,20,1,0
American Airlines,CGH,BSB,Fog,3494,19,2,1
GOL,BSB,GRU,Storm,833,12,0,1
American Airlines,CGH,BSB,Fog,1356,15,4,1
GOL,GIG,BSB,Fog,3434,12,4,1
LATAM,GIG,CGH,Rain,1438,13,3,1
TAP,GRU,BSB,Storm,932,2,1,1
TAP,CNF,BSB,Fog,434,5,0,0
TAP,CGH,GIG,Clear,2905,17,1,1
American Airlines,BSB,GRU,Clear,950,18,0,0
LATAM,GIG,BSB,Cloudy,2835,4,3,0
American Airlines,GRU,BSB,Storm,3280,14,3,1
American Airlines,GRU,CGH,Storm,3345,1,4,1
LATAM,CGH,GRU,Cloudy,1153,9,1,0
LATAM,GIG,GRU,Fog,2739,23,5,1
LATAM,CNF,GIG,Storm,3160,17,4,1
LATAM,GIG,CNF,Clear,3524,12,1,0
TAP,CGH,BSB,Clear,3501,4,4,0
Azul,CGH,BSB,Rain,1742,22,5,1
Azul,GIG,CNF,Storm,1397,23,2,1
LATAM,CGH,BSB,Fog,1876,0,2,0
Azul,GIG,GRU,Cloudy,1391,21,2,0
Azul,BSB,CNF,Cloudy,2417,0,2,0
LATAM,GIG,CGH,Fog,1616,17,6,0
Azul,GIG,BSB,Rain,3193,14,0,1
American Airlines,CGH,GRU,Cloudy,3042,16,6,1
GOL,CGH,CNF,Storm,2881,10,6,1
GOL,GRU,CNF,Rain,1417,20,6,0
LATAM,GRU,CGH,Storm,1740,21,2,1
TAP,BSB,GRU,Clear,2276,16,5,0
LATAM,GRU,CGH,Rain,3436,12,3,0
TAP,GIG,CGH,Cloudy,1645,0,3,0
GOL,CGH,BSB,Rain,2586,1,0,1
LATAM,GRU,BSB,Rain,3919,8,2,0
American Airlines,GRU,BSB,Rain,1719,2,2,1
Azul,BSB,GIG,Rain,1588,0,2,1
TAP,BSB,GRU,Storm,2056,20,4,1
Azul,GIG,BSB,Clear,1565,15,1,0
Azul,CGH,CNF,Fog,699,22,4,1
LATAM,BSB,CGH,Rain,1880,5,1,1
Azul,GRU,BSB,Cloudy,710,16,2,0
American Airlines,CGH,GRU,Rain,3598,4,2,1
Azul,CGH,BSB,Cloudy,416,4,4,1
LATAM,GRU,BSB,Storm,1524,5,4,1
American Airlines,BSB,GIG,Cloudy,1355,2,1,1
GOL,GRU,CGH,Fog,2027,20,3,1
Azul,CGH,CNF,Clear,3341,22,1,0
LATAM,CNF,GRU,Cloudy,3523,4,4,0
GOL,CNF,BSB,Cloudy,3686,20,5,1
